pipeline,best_cv_score,best_params,used_default
RF_ROS_NoS_L-PCA,0.5980489075881911,"{'classifier__bootstrap': True, 'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 20, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 20, 'classifier__n_estimators': 687, 'sampler__sampling_strategy': 'auto'}",False
RF_ROS_RS_NoDR,0.5967924351675469,"{'classifier__bootstrap': True, 'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 20, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 20, 'classifier__n_estimators': 687, 'sampler__sampling_strategy': 'auto'}",False
RF_ROS_SS_NoDR,0.5967675889161672,"{'classifier__bootstrap': True, 'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 20, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 20, 'classifier__n_estimators': 687, 'sampler__sampling_strategy': 'auto'}",False
RF_SMOTE_NoS_L-PCA,0.5867309078254493,"{'classifier__bootstrap': True, 'classifier__ccp_alpha': 0.0, 'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': None, 'classifier__max_features': 'sqrt', 'classifier__max_leaf_nodes': None, 'classifier__max_samples': None, 'classifier__min_impurity_decrease': 0.0, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2, 'classifier__min_weight_fraction_leaf': 0.0, 'classifier__monotonic_cst': None, 'classifier__n_estimators': 100, 'classifier__n_jobs': -1, 'classifier__oob_score': False, 'classifier__random_state': 42, 'classifier__verbose': 0, 'classifier__warm_start': False}",True
RF_NoR_NoS_NoDR,0.5753588891717285,"{'classifier__bootstrap': True, 'classifier__class_weight': None, 'classifier__criterion': 'gini', 'classifier__max_depth': 37, 'classifier__max_features': 'log2', 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 26, 'classifier__n_estimators': 365}",False
XGB_NoR_RS_NoDR,0.5978771046120218,"{'classifier__class_weight': None, 'classifier__colsample_bytree': np.float64(0.6281664523398175), 'classifier__gamma': np.float64(0.06267561528460805), 'classifier__learning_rate': np.float64(0.13751726819656962), 'classifier__max_depth': 9, 'classifier__min_child_weight': 2, 'classifier__n_estimators': 226, 'classifier__reg_alpha': np.float64(0.5183296523637367), 'classifier__reg_lambda': np.float64(4.509492287711822), 'classifier__subsample': np.float64(0.8963074471016818)}",False
XGB_NoR_NoS_L-PCA,0.6004976315514131,"{'classifier__class_weight': None, 'classifier__colsample_bytree': np.float64(0.6301436241409849), 'classifier__gamma': np.float64(0.20751431915067362), 'classifier__learning_rate': np.float64(0.11152579225559799), 'classifier__max_depth': 7, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 122, 'classifier__reg_alpha': np.float64(0.7689874151805105), 'classifier__reg_lambda': np.float64(4.7790629195297125), 'classifier__subsample': np.float64(0.9398589562709646)}",False
XGB_ROS_RS_NoDR,0.5970298272962472,"{'classifier__class_weight': None, 'classifier__colsample_bytree': np.float64(0.9895022075365837), 'classifier__gamma': np.float64(0.06983140212909127), 'classifier__learning_rate': np.float64(0.02721522256123595), 'classifier__max_depth': 8, 'classifier__min_child_weight': 3, 'classifier__n_estimators': 463, 'classifier__reg_alpha': np.float64(0.5142344384136116), 'classifier__reg_lambda': np.float64(3.36965827544817), 'classifier__subsample': np.float64(0.6185801650879991), 'sampler__sampling_strategy': 'auto'}",False
SVM_NoR_NoS_L-PCA,0.591932198097165,"{'classifier__C': np.float64(3.002984436915129), 'classifier__class_weight': None, 'classifier__degree': 2, 'classifier__gamma': 0.01, 'classifier__kernel': 'rbf'}",False
Paper_Optimized,0.5890386212858438,"{'classifier__n_estimators': 1000, 'classifier__min_samples_split': 12, 'classifier__min_samples_leaf': 6, 'classifier__max_features': 'log2', 'classifier__max_depth': 40, 'classifier__criterion': 'gini', 'classifier__class_weight': 'balanced', 'classifier__bootstrap': True}",False
